Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Label
"{'y': 0.052877747, 'x': 0.7637656, 'confidence': 0.19359253}","{'y': 0.038407706, 'x': 0.7629481, 'confidence': 0.14260992}","{'y': 0.032293573, 'x': 0.68562996, 'confidence': 0.08299096}","{'y': 0.042797294, 'x': 0.7923211, 'confidence': 0.1986102}","{'y': 0.06753499, 'x': 0.81750995, 'confidence': 0.25246006}","{'y': 0.27151844, 'x': 0.679711, 'confidence': 0.39852014}","{'y': 0.2747131, 'x': 0.69368684, 'confidence': 0.3949855}","{'y': 0.62995255, 'x': 0.62653744, 'confidence': 0.32216534}","{'y': 0.58463985, 'x': 0.37637672, 'confidence': 0.06104996}","{'y': 0.86598295, 'x': 0.6405755, 'confidence': 0.069233485}","{'y': 0.64759773, 'x': 0.40385756, 'confidence': 0.06620601}","{'y': 0.95332825, 'x': 0.658004, 'confidence': 0.22712232}","{'y': 0.9369677, 'x': 0.45072973, 'confidence': 0.16819438}","{'y': 0.94182366, 'x': 0.57504714, 'confidence': 0.022536345}","{'y': 0.9755475, 'x': 0.39000338, 'confidence': 0.01646859}","{'y': 0.98243845, 'x': 0.54834944, 'confidence': 0.049784597}","{'y': 0.9796243, 'x': 0.8609759, 'confidence': 0.11339123}",0
"{'y': 0.04632267, 'x': 0.56442297, 'confidence': 0.078812994}","{'y': 0.027877662, 'x': 0.5343234, 'confidence': 0.06026616}","{'y': 0.03075535, 'x': 0.5237437, 'confidence': 0.04194658}","{'y': 0.0062196776, 'x': 0.5554508, 'confidence': 0.03377715}","{'y': 0.019547636, 'x': 0.20855138, 'confidence': 0.027944287}","{'y': 0.03916682, 'x': 0.56088096, 'confidence': 0.16432276}","{'y': 0.12764575, 'x': 0.20518176, 'confidence': 0.06731663}","{'y': 0.6006661, 'x': 0.6494064, 'confidence': 0.14562342}","{'y': 0.72696257, 'x': 0.078536555, 'confidence': 0.20368771}","{'y': 0.9734958, 'x': 0.6817755, 'confidence': 0.08342871}","{'y': 0.9799049, 'x': 0.21210136, 'confidence': 0.07119393}","{'y': 0.9859809, 'x': 0.6483356, 'confidence': 0.20428686}","{'y': 0.9861841, 'x': 0.39325625, 'confidence': 0.16900441}","{'y': 0.9481748, 'x': 0.56579524, 'confidence': 0.052234326}","{'y': 0.9623205, 'x': 0.51984453, 'confidence': 0.056955934}","{'y': 0.982768, 'x': 0.21670547, 'confidence': 0.055869337}","{'y': 0.9571573, 'x': 0.5425087, 'confidence': 0.055791207}",0
"{'y': 0.001612838, 'x': 0.42129907, 'confidence': 0.031313144}","{'y': -0.0030921868, 'x': 0.30116454, 'confidence': 0.019393114}","{'y': 0.0019303034, 'x': 0.4246346, 'confidence': 0.025300983}","{'y': -0.01068122, 'x': 0.36880866, 'confidence': 0.013915909}","{'y': 0.0017161492, 'x': 0.5391774, 'confidence': 0.025903003}","{'y': 0.004192544, 'x': 0.17809896, 'confidence': 0.13713922}","{'y': 0.10087809, 'x': 0.6230869, 'confidence': 0.26894492}","{'y': 0.51709455, 'x': 0.052130595, 'confidence': 0.15999945}","{'y': 0.58190036, 'x': 0.631593, 'confidence': 0.20065303}","{'y': 0.8465983, 'x': 0.18747872, 'confidence': 0.0508592}","{'y': 0.94863576, 'x': 0.61373526, 'confidence': 0.05913291}","{'y': 0.8983956, 'x': 0.3324748, 'confidence': 0.09678541}","{'y': 0.916836, 'x': 0.48808607, 'confidence': 0.12560496}","{'y': 0.9510866, 'x': 0.32575902, 'confidence': 0.02804157}","{'y': 0.977848, 'x': 0.6092102, 'confidence': 0.03332573}","{'y': 0.9413331, 'x': 0.022386573, 'confidence': 0.05335834}","{'y': 0.9837865, 'x': 0.6106668, 'confidence': 0.040010706}",0
"{'y': 0.034228455, 'x': 0.58887243, 'confidence': 0.08192022}","{'y': 0.0040220805, 'x': 0.6372089, 'confidence': 0.056774616}","{'y': 0.020359365, 'x': 0.52007073, 'confidence': 0.06630842}","{'y': -0.0016245974, 'x': 0.60549116, 'confidence': 0.022200841}","{'y': 0.0032229251, 'x': 0.55766004, 'confidence': 0.032915976}","{'y': 0.027109092, 'x': 0.5199982, 'confidence': 0.09733487}","{'y': 0.022428358, 'x': 0.43064365, 'confidence': 0.28596815}","{'y': 0.59946054, 'x': 0.35325268, 'confidence': 0.20820025}","{'y': 0.61146307, 'x': 0.9183809, 'confidence': 0.34588945}","{'y': 0.9660439, 'x': 0.35373557, 'confidence': 0.115015306}","{'y': 0.96903306, 'x': 0.36210632, 'confidence': 0.16006115}","{'y': 0.93783164, 'x': 0.52839833, 'confidence': 0.17815144}","{'y': 0.9388449, 'x': 0.5464593, 'confidence': 0.16131303}","{'y': 0.9812711, 'x': 0.4528752, 'confidence': 0.061205726}","{'y': 0.98343265, 'x': 0.49836648, 'confidence': 0.044776347}","{'y': 0.97848475, 'x': 0.3627491, 'confidence': 0.055889677}","{'y': 0.9699504, 'x': 0.8972513, 'confidence': 0.0661882}",0
"{'y': 0.09471673, 'x': 0.3572302, 'confidence': 0.06573567}","{'y': 0.0073176697, 'x': 0.5015181, 'confidence': 0.049232084}","{'y': 0.008805566, 'x': 0.49468645, 'confidence': 0.04777807}","{'y': 0.006195349, 'x': 0.37120897, 'confidence': 0.03532722}","{'y': 0.008883325, 'x': 0.3671247, 'confidence': 0.03256224}","{'y': 0.09133662, 'x': 0.21500044, 'confidence': 0.08270893}","{'y': 0.0369783, 'x': 0.5549631, 'confidence': 0.2123072}","{'y': 0.70266175, 'x': 0.07954191, 'confidence': 0.29036516}","{'y': 0.5928555, 'x': 0.638326, 'confidence': 0.30037415}","{'y': 0.94177735, 'x': 0.6690607, 'confidence': 0.21335684}","{'y': 0.95147794, 'x': 0.63406205, 'confidence': 0.10485142}","{'y': 0.945875, 'x': 0.40606043, 'confidence': 0.090936676}","{'y': 0.94471234, 'x': 0.53769135, 'confidence': 0.1486479}","{'y': 0.96712875, 'x': 0.23035505, 'confidence': 0.08680876}","{'y': 0.9459702, 'x': 0.55277634, 'confidence': 0.06512235}","{'y': 0.9711357, 'x': 0.60844177, 'confidence': 0.04922555}","{'y': 0.9691584, 'x': 0.61005515, 'confidence': 0.05391706}",0
"{'y': 0.1427622, 'x': 0.670938, 'confidence': 0.08294651}","{'y': 0.008991425, 'x': 0.52597487, 'confidence': 0.0420688}","{'y': 0.026252968, 'x': 0.5476638, 'confidence': 0.04267301}","{'y': 0.013533947, 'x': 0.67978656, 'confidence': 0.04750355}","{'y': 0.016732052, 'x': 0.6824464, 'confidence': 0.038662784}","{'y': 0.019329656, 'x': 0.4521494, 'confidence': 0.1774159}","{'y': 0.12584585, 'x': 0.8679476, 'confidence': 0.16632597}","{'y': 0.64774656, 'x': 0.3465179, 'confidence': 0.1892695}","{'y': 0.65961933, 'x': 0.92816067, 'confidence': 0.2010936}","{'y': 0.9740675, 'x': 0.25907102, 'confidence': 0.05113024}","{'y': 0.92031306, 'x': 0.7918356, 'confidence': 0.048896868}","{'y': 0.98093015, 'x': 0.47752312, 'confidence': 0.20528696}","{'y': 0.95984316, 'x': 0.65941054, 'confidence': 0.15075883}","{'y': 0.9429458, 'x': 0.45388663, 'confidence': 0.05685252}","{'y': 0.97446895, 'x': 0.741842, 'confidence': 0.05850873}","{'y': 0.97360945, 'x': 0.3188823, 'confidence': 0.033944916}","{'y': 0.978212, 'x': 0.7642721, 'confidence': 0.057712823}",0
"{'y': 0.19798562, 'x': 0.5886727, 'confidence': 0.10341207}","{'y': 0.015485978, 'x': 0.7024964, 'confidence': 0.032958794}","{'y': 0.18367119, 'x': 0.56060505, 'confidence': 0.06823818}","{'y': 0.02540768, 'x': 0.73408675, 'confidence': 0.054776877}","{'y': 0.02288487, 'x': 0.4318331, 'confidence': 0.04235309}","{'y': 0.18892604, 'x': 0.70248073, 'confidence': 0.23108813}","{'y': 0.19536014, 'x': 0.30593798, 'confidence': 0.15345994}","{'y': 0.46815267, 'x': 0.9568127, 'confidence': 0.40426198}","{'y': 0.6378319, 'x': 0.29050297, 'confidence': 0.022337133}","{'y': 0.5806883, 'x': 0.8168895, 'confidence': 0.0672871}","{'y': 0.61622167, 'x': 0.57062083, 'confidence': 0.050541528}","{'y': 0.9167426, 'x': 0.655813, 'confidence': 0.08153721}","{'y': 0.9327392, 'x': 0.33782005, 'confidence': 0.051049214}","{'y': 0.86170256, 'x': 0.6782369, 'confidence': 0.040178362}","{'y': 0.89404494, 'x': 0.43533254, 'confidence': 0.035118468}","{'y': 0.9885639, 'x': 0.52171093, 'confidence': 0.02367903}","{'y': 0.9892041, 'x': 0.41718814, 'confidence': 0.05214124}",0
"{'y': 0.015523732, 'x': 0.47492582, 'confidence': 0.05665002}","{'y': 0.012701581, 'x': 0.46898788, 'confidence': 0.06898143}","{'y': 0.010028901, 'x': 0.49429187, 'confidence': 0.071336105}","{'y': 0.022625435, 'x': 0.46583134, 'confidence': 0.1495455}","{'y': 0.025200324, 'x': 0.53468174, 'confidence': 0.108881}","{'y': 0.16066098, 'x': 0.35552838, 'confidence': 0.14006785}","{'y': 0.17617793, 'x': 0.61672753, 'confidence': 0.09475163}","{'y': 0.55327994, 'x': 0.055485252, 'confidence': 0.52921975}","{'y': 0.37055472, 'x': 0.84231424, 'confidence': 0.5123975}","{'y': 0.751467, 'x': 0.37303644, 'confidence': 0.33845815}","{'y': 0.7155091, 'x': 0.6916166, 'confidence': 0.109813705}","{'y': 0.9518316, 'x': 0.4491878, 'confidence': 0.1560425}","{'y': 0.9722263, 'x': 0.5676587, 'confidence': 0.12748}","{'y': 0.8797601, 'x': 0.39039755, 'confidence': 0.08731577}","{'y': 0.9154455, 'x': 0.626384, 'confidence': 0.06612108}","{'y': 0.7495654, 'x': 0.37784982, 'confidence': 0.2454605}","{'y': 0.9768208, 'x': 0.60915375, 'confidence': 0.0688909}",0
"{'y': 0.0901876, 'x': 0.56848866, 'confidence': 0.032948513}","{'y': 0.026057178, 'x': 0.6084939, 'confidence': 0.04283741}","{'y': 0.028688692, 'x': 0.5040508, 'confidence': 0.028444767}","{'y': 0.019604418, 'x': 0.6681084, 'confidence': 0.03540485}","{'y': 0.03253348, 'x': 0.43303695, 'confidence': 0.035833497}","{'y': 0.16205168, 'x': 0.7394817, 'confidence': 0.054647736}","{'y': 0.18324932, 'x': 0.38668102, 'confidence': 0.0794181}","{'y': 0.45798436, 'x': 0.8262457, 'confidence': 0.033701606}","{'y': 0.4589056, 'x': 0.3394054, 'confidence': 0.024074735}","{'y': 0.49397707, 'x': 0.6556734, 'confidence': 0.009748259}","{'y': 0.5168591, 'x': 0.431878, 'confidence': 0.013896823}","{'y': 0.7592353, 'x': 0.6989832, 'confidence': 0.032124247}","{'y': 0.7467517, 'x': 0.4478772, 'confidence': 0.020523962}","{'y': 0.87368006, 'x': 0.59858644, 'confidence': 0.04830858}","{'y': 0.83867294, 'x': 0.4704212, 'confidence': 0.031576134}","{'y': 0.954196, 'x': 0.4541933, 'confidence': 0.048518836}","{'y': 0.9029963, 'x': 0.45618027, 'confidence': 0.03391604}",0
"{'y': 0.16182844, 'x': 0.54269093, 'confidence': 0.07116892}","{'y': -0.0014057079, 'x': 0.61411947, 'confidence': 0.03804789}","{'y': 0.12308501, 'x': 0.5028412, 'confidence': 0.04568211}","{'y': 0.0029312293, 'x': 0.61055213, 'confidence': 0.0463666}","{'y': 0.011599841, 'x': 0.31053442, 'confidence': 0.04084182}","{'y': 0.11370722, 'x': 0.46711463, 'confidence': 0.11154806}","{'y': 0.10640508, 'x': 0.55924857, 'confidence': 0.16187567}","{'y': 0.5498095, 'x': 0.058359407, 'confidence': 0.41478044}","{'y': 0.64403796, 'x': 0.64920866, 'confidence': 0.021741178}","{'y': 0.7290736, 'x': 0.37017974, 'confidence': 0.36379293}","{'y': 0.8211909, 'x': 0.6266477, 'confidence': 0.046371404}","{'y': 0.98544806, 'x': 0.49806285, 'confidence': 0.15834916}","{'y': 0.9872562, 'x': 0.5412003, 'confidence': 0.12000508}","{'y': 0.98216957, 'x': 0.6290699, 'confidence': 0.06296333}","{'y': 0.983138, 'x': 0.6455273, 'confidence': 0.06728466}","{'y': 0.7321021, 'x': 0.37159836, 'confidence': 0.09572645}","{'y': 0.97615206, 'x': 0.65100443, 'confidence': 0.07562087}",0
"{'y': 0.019216228, 'x': 0.6220755, 'confidence': 0.038545202}","{'y': 0.015534737, 'x': 0.70269847, 'confidence': 0.07003712}","{'y': 0.01583009, 'x': 0.63679874, 'confidence': 0.043962732}","{'y': 0.009073791, 'x': 0.7053123, 'confidence': 0.037232514}","{'y': 0.026592303, 'x': 0.30750495, 'confidence': 0.04579555}","{'y': 0.13113886, 'x': 0.837311, 'confidence': 0.051312055}","{'y': 0.2260856, 'x': 0.28672227, 'confidence': 0.1206895}","{'y': 0.6778701, 'x': 0.89641345, 'confidence': 0.054379907}","{'y': 0.71675724, 'x': 0.2306608, 'confidence': 0.035862174}","{'y': 0.91733, 'x': 0.7563759, 'confidence': 0.039576847}","{'y': 0.89333767, 'x': 0.41504663, 'confidence': 0.034316946}","{'y': 0.9573869, 'x': 0.7559264, 'confidence': 0.09249361}","{'y': 0.9510175, 'x': 0.38687953, 'confidence': 0.109505415}","{'y': 0.93158704, 'x': 0.7833746, 'confidence': 0.041977488}","{'y': 0.9207249, 'x': 0.4347305, 'confidence': 0.028100645}","{'y': 0.9791848, 'x': 0.58441573, 'confidence': 0.038901724}","{'y': 0.9786583, 'x': 0.4674144, 'confidence': 0.05353896}",0
"{'y': 0.0051131, 'x': 0.46422276, 'confidence': 0.107932694}","{'y': 0.0009333023, 'x': 0.5119909, 'confidence': 0.06605518}","{'y': 0.0014703522, 'x': 0.4274756, 'confidence': 0.09557429}","{'y': 0.018167445, 'x': 0.5250084, 'confidence': 0.24526833}","{'y': 0.018785663, 'x': 0.37824878, 'confidence': 0.165286}","{'y': 0.2957087, 'x': 0.63614875, 'confidence': 0.69890857}","{'y': 0.3562994, 'x': 0.31995457, 'confidence': 0.4604206}","{'y': 0.67521155, 'x': 0.7048808, 'confidence': 0.30947345}","{'y': 0.7558755, 'x': 0.3052443, 'confidence': 0.24048373}","{'y': 0.9346993, 'x': 0.7230761, 'confidence': 0.12866601}","{'y': 0.98750025, 'x': 0.35382196, 'confidence': 0.0949281}","{'y': 0.91858757, 'x': 0.6643362, 'confidence': 0.13705574}","{'y': 0.95982444, 'x': 0.46509248, 'confidence': 0.13305517}","{'y': 0.99174166, 'x': 0.66950375, 'confidence': 0.047383163}","{'y': 0.99210566, 'x': 0.49240208, 'confidence': 0.043738596}","{'y': 0.9857362, 'x': 0.49155444, 'confidence': 0.037861586}","{'y': 0.9885889, 'x': 0.47588316, 'confidence': 0.03806815}",1
"{'y': 0.014977427, 'x': 0.4645242, 'confidence': 0.18554747}","{'y': 0.008196152, 'x': 0.45400354, 'confidence': 0.113960706}","{'y': 0.007163742, 'x': 0.4726493, 'confidence': 0.131022}","{'y': 0.028358709, 'x': 0.4012105, 'confidence': 0.27683017}","{'y': 0.018573001, 'x': 0.5051897, 'confidence': 0.21183021}","{'y': 0.33634815, 'x': 0.3544143, 'confidence': 0.3312195}","{'y': 0.29022422, 'x': 0.6513788, 'confidence': 0.46701458}","{'y': 0.76317054, 'x': 0.3146674, 'confidence': 0.13516593}","{'y': 0.66292197, 'x': 0.71844417, 'confidence': 0.30535403}","{'y': 0.90192026, 'x': 0.5035758, 'confidence': 0.030276587}","{'y': 0.8972444, 'x': 0.5899527, 'confidence': 0.03265332}","{'y': 0.92954016, 'x': 0.5370921, 'confidence': 0.057065327}","{'y': 0.92538345, 'x': 0.61209, 'confidence': 0.05561617}","{'y': 0.9883749, 'x': 0.46867412, 'confidence': 0.058480293}","{'y': 0.9570944, 'x': 0.6380826, 'confidence': 0.07188776}","{'y': 0.98462623, 'x': 0.4299059, 'confidence': 0.03208855}","{'y': 0.9810432, 'x': 0.48817226, 'confidence': 0.036453705}",1
"{'y': 0.014739118, 'x': 0.43551713, 'confidence': 0.15528826}","{'y': 0.01017283, 'x': 0.42288694, 'confidence': 0.12905699}","{'y': 0.007214536, 'x': 0.47548476, 'confidence': 0.10054573}","{'y': 0.028578058, 'x': 0.3823975, 'confidence': 0.2794383}","{'y': 0.015954852, 'x': 0.523007, 'confidence': 0.21035652}","{'y': 0.32182485, 'x': 0.34537095, 'confidence': 0.2428614}","{'y': 0.2810616, 'x': 0.65721124, 'confidence': 0.54269373}","{'y': 0.75509506, 'x': 0.31891, 'confidence': 0.058265336}","{'y': 0.6492136, 'x': 0.71943706, 'confidence': 0.35932067}","{'y': 0.8841908, 'x': 0.50308836, 'confidence': 0.025325013}","{'y': 0.9421174, 'x': 0.73848975, 'confidence': 0.119606555}","{'y': 0.9448978, 'x': 0.50718135, 'confidence': 0.0861091}","{'y': 0.9194362, 'x': 0.617919, 'confidence': 0.07670367}","{'y': 0.982725, 'x': 0.4675076, 'confidence': 0.049695052}","{'y': 0.96182865, 'x': 0.6661987, 'confidence': 0.06705495}","{'y': 0.98402345, 'x': 0.36704203, 'confidence': 0.034962516}","{'y': 0.98380977, 'x': 0.5082439, 'confidence': 0.043386478}",1
"{'y': 0.015146833, 'x': 0.57495475, 'confidence': 0.18836433}","{'y': 0.009643745, 'x': 0.56669354, 'confidence': 0.14750072}","{'y': 0.011876015, 'x': 0.5772673, 'confidence': 0.14507855}","{'y': 0.025977286, 'x': 0.49115804, 'confidence': 0.26330906}","{'y': 0.024468375, 'x': 0.577519, 'confidence': 0.23396301}","{'y': 0.32389864, 'x': 0.5228621, 'confidence': 0.16071218}","{'y': 0.3678686, 'x': 0.6398106, 'confidence': 0.29082367}","{'y': 0.6516951, 'x': 0.27128324, 'confidence': 0.17802516}","{'y': 0.8266361, 'x': 0.6820999, 'confidence': 0.22604303}","{'y': 0.89869004, 'x': 0.44406438, 'confidence': 0.017628238}","{'y': 0.91910064, 'x': 0.40541393, 'confidence': 0.020656947}","{'y': 0.94526297, 'x': 0.45377097, 'confidence': 0.114177376}","{'y': 0.92543715, 'x': 0.48508188, 'confidence': 0.0966357}","{'y': 0.9871415, 'x': 0.3726916, 'confidence': 0.045249872}","{'y': 0.9855293, 'x': 0.4811332, 'confidence': 0.07124179}","{'y': 0.9731735, 'x': 0.23554718, 'confidence': 0.040156133}","{'y': 0.97592086, 'x': 0.23639062, 'confidence': 0.04711299}",1
"{'y': 0.018836718, 'x': 0.5081599, 'confidence': 0.22661969}","{'y': 0.0095518455, 'x': 0.46717522, 'confidence': 0.14399579}","{'y': 0.0068559567, 'x': 0.5467113, 'confidence': 0.17535079}","{'y': 0.025516644, 'x': 0.4071005, 'confidence': 0.43287677}","{'y': 0.023100575, 'x': 0.59373516, 'confidence': 0.4030892}","{'y': 0.3032066, 'x': 0.33174917, 'confidence': 0.5752846}","{'y': 0.33325565, 'x': 0.6630118, 'confidence': 0.65400934}","{'y': 0.69702137, 'x': 0.2651806, 'confidence': 0.27455443}","{'y': 0.7368377, 'x': 0.7101471, 'confidence': 0.2949074}","{'y': 0.9635143, 'x': 0.27472126, 'confidence': 0.110000595}","{'y': 0.9791368, 'x': 0.68306154, 'confidence': 0.11679519}","{'y': 0.94659257, 'x': 0.39561492, 'confidence': 0.18091473}","{'y': 0.92696005, 'x': 0.5973576, 'confidence': 0.11639147}","{'y': 0.9943044, 'x': 0.36491486, 'confidence': 0.05232351}","{'y': 0.99614817, 'x': 0.61982715, 'confidence': 0.034942877}","{'y': 0.9879743, 'x': 0.33828333, 'confidence': 0.04220092}","{'y': 0.9910301, 'x': 0.58591485, 'confidence': 0.0317567}",1
"{'y': 0.15324926, 'x': 0.3625688, 'confidence': 0.13332424}","{'y': 0.14310032, 'x': 0.3203952, 'confidence': 0.15507403}","{'y': 0.12575145, 'x': 0.42470074, 'confidence': 0.08826561}","{'y': 0.17291267, 'x': 0.30591202, 'confidence': 0.4678245}","{'y': 0.14838435, 'x': 0.506088, 'confidence': 0.44398555}","{'y': 0.34177572, 'x': 0.26193368, 'confidence': 0.62741864}","{'y': 0.31033134, 'x': 0.64697814, 'confidence': 0.79224503}","{'y': 0.5945219, 'x': 0.29433185, 'confidence': 0.536805}","{'y': 0.5287665, 'x': 0.7193487, 'confidence': 0.7041145}","{'y': 0.7763316, 'x': 0.31763503, 'confidence': 0.52823204}","{'y': 0.707944, 'x': 0.7826745, 'confidence': 0.6738581}","{'y': 0.73534364, 'x': 0.4214709, 'confidence': 0.5333481}","{'y': 0.7127953, 'x': 0.63744724, 'confidence': 0.5663146}","{'y': 0.9665374, 'x': 0.48245, 'confidence': 0.15325436}","{'y': 0.96551764, 'x': 0.7225495, 'confidence': 0.1684888}","{'y': 0.8363552, 'x': 0.43306348, 'confidence': 0.038606074}","{'y': 0.8791285, 'x': 0.7023025, 'confidence': 0.028758397}",1
"{'y': 0.15129392, 'x': 0.5543218, 'confidence': 0.15866275}","{'y': 0.114492044, 'x': 0.51690936, 'confidence': 0.10693495}","{'y': 0.13814662, 'x': 0.5994005, 'confidence': 0.12758748}","{'y': 0.12822992, 'x': 0.45124596, 'confidence': 0.4770106}","{'y': 0.16427557, 'x': 0.63904047, 'confidence': 0.44944736}","{'y': 0.30035654, 'x': 0.31640512, 'confidence': 0.83222985}","{'y': 0.3287331, 'x': 0.69551617, 'confidence': 0.74526554}","{'y': 0.5482789, 'x': 0.25934073, 'confidence': 0.621266}","{'y': 0.5532252, 'x': 0.6994019, 'confidence': 0.6250125}","{'y': 0.7344111, 'x': 0.21970232, 'confidence': 0.65029836}","{'y': 0.7423201, 'x': 0.7018272, 'confidence': 0.5766412}","{'y': 0.7089053, 'x': 0.35684732, 'confidence': 0.5345653}","{'y': 0.7371204, 'x': 0.5731296, 'confidence': 0.6103483}","{'y': 0.96271706, 'x': 0.31033885, 'confidence': 0.085395664}","{'y': 0.9836224, 'x': 0.54170823, 'confidence': 0.07917383}","{'y': 0.7697482, 'x': 0.22078036, 'confidence': 0.0798874}","{'y': 0.78101486, 'x': 0.69491035, 'confidence': 0.03807401}",1
"{'y': 0.12423348, 'x': 0.50912184, 'confidence': 0.1371201}","{'y': 0.103867486, 'x': 0.47350705, 'confidence': 0.119747676}","{'y': 0.10248703, 'x': 0.5584971, 'confidence': 0.11053616}","{'y': 0.1435519, 'x': 0.4296192, 'confidence': 0.32723242}","{'y': 0.13412371, 'x': 0.62492573, 'confidence': 0.48996562}","{'y': 0.31356385, 'x': 0.32384133, 'confidence': 0.76764095}","{'y': 0.31607705, 'x': 0.71721745, 'confidence': 0.6738868}","{'y': 0.5508754, 'x': 0.2914591, 'confidence': 0.7654497}","{'y': 0.55532825, 'x': 0.72239625, 'confidence': 0.6935476}","{'y': 0.7276707, 'x': 0.26129812, 'confidence': 0.5331683}","{'y': 0.743878, 'x': 0.7351804, 'confidence': 0.58603585}","{'y': 0.72497225, 'x': 0.40605077, 'confidence': 0.5285929}","{'y': 0.72142637, 'x': 0.62360144, 'confidence': 0.60830617}","{'y': 0.97239405, 'x': 0.3829777, 'confidence': 0.052467108}","{'y': 0.9820529, 'x': 0.60727066, 'confidence': 0.07164415}","{'y': 0.7634571, 'x': 0.2677395, 'confidence': 0.06603122}","{'y': 0.78140527, 'x': 0.7309022, 'confidence': 0.019579295}",1
"{'y': 0.13648903, 'x': 0.578332, 'confidence': 0.4133532}","{'y': 0.10403091, 'x': 0.55370444, 'confidence': 0.40211424}","{'y': 0.12074827, 'x': 0.6167055, 'confidence': 0.39062703}","{'y': 0.14500928, 'x': 0.49930638, 'confidence': 0.39373982}","{'y': 0.16016074, 'x': 0.6539331, 'confidence': 0.56684756}","{'y': 0.2908957, 'x': 0.3270409, 'confidence': 0.78224474}","{'y': 0.31776294, 'x': 0.7450481, 'confidence': 0.68901575}","{'y': 0.53360224, 'x': 0.27797407, 'confidence': 0.7178891}","{'y': 0.56140965, 'x': 0.7156618, 'confidence': 0.7210214}","{'y': 0.7184418, 'x': 0.22668615, 'confidence': 0.63825375}","{'y': 0.7425443, 'x': 0.7204041, 'confidence': 0.8032259}","{'y': 0.6961511, 'x': 0.38406014, 'confidence': 0.56756246}","{'y': 0.7002171, 'x': 0.59661317, 'confidence': 0.6521953}","{'y': 0.9482446, 'x': 0.32572603, 'confidence': 0.21357791}","{'y': 0.9829203, 'x': 0.5552507, 'confidence': 0.35269263}","{'y': 0.93455017, 'x': 0.372717, 'confidence': 0.03847148}","{'y': 0.9371312, 'x': 0.5421881, 'confidence': 0.07601491}",1
"{'y': 0.13775581, 'x': 0.42445558, 'confidence': 0.40529308}","{'y': 0.11830167, 'x': 0.3832668, 'confidence': 0.37498245}","{'y': 0.1101545, 'x': 0.4543247, 'confidence': 0.30449566}","{'y': 0.16118176, 'x': 0.33421704, 'confidence': 0.54933786}","{'y': 0.14832594, 'x': 0.5182124, 'confidence': 0.5496465}","{'y': 0.32678446, 'x': 0.262604, 'confidence': 0.6915455}","{'y': 0.30007306, 'x': 0.663083, 'confidence': 0.74227005}","{'y': 0.5694521, 'x': 0.289717, 'confidence': 0.73492926}","{'y': 0.5339083, 'x': 0.718443, 'confidence': 0.6711728}","{'y': 0.76100653, 'x': 0.2952804, 'confidence': 0.67711556}","{'y': 0.71084785, 'x': 0.7765715, 'confidence': 0.71166474}","{'y': 0.7245936, 'x': 0.41550568, 'confidence': 0.61159945}","{'y': 0.7085302, 'x': 0.6183774, 'confidence': 0.6922511}","{'y': 0.9667453, 'x': 0.45454103, 'confidence': 0.14937396}","{'y': 0.9485394, 'x': 0.683734, 'confidence': 0.07982041}","{'y': 0.8413932, 'x': 0.418446, 'confidence': 0.07693941}","{'y': 0.75237405, 'x': 0.7632785, 'confidence': 0.082136296}",1
"{'y': -0.0059398324, 'x': 0.48463526, 'confidence': 0.030608347}","{'y': -0.008775752, 'x': 0.4320083, 'confidence': 0.034097575}","{'y': -0.017193735, 'x': 0.51639867, 'confidence': 0.035507154}","{'y': 0.010518081, 'x': 0.38683426, 'confidence': 0.15272167}","{'y': 0.0017283062, 'x': 0.59064406, 'confidence': 0.104672454}","{'y': 0.281726, 'x': 0.28250113, 'confidence': 0.58663523}","{'y': 0.20837799, 'x': 0.6863217, 'confidence': 0.5536367}","{'y': 0.71808517, 'x': 0.21237785, 'confidence': 0.18963087}","{'y': 0.5787548, 'x': 0.8087545, 'confidence': 0.30197474}","{'y': 0.9817212, 'x': 0.2918111, 'confidence': 0.08897273}","{'y': 0.9113842, 'x': 0.86398804, 'confidence': 0.03501902}","{'y': 0.9643483, 'x': 0.48475194, 'confidence': 0.14111511}","{'y': 0.9594372, 'x': 0.70258754, 'confidence': 0.113350555}","{'y': 0.91420406, 'x': 0.6414097, 'confidence': 0.072433166}","{'y': 0.98183936, 'x': 0.9264389, 'confidence': 0.056705095}","{'y': 0.97072256, 'x': 0.73742133, 'confidence': 0.043008376}","{'y': 0.97359663, 'x': 0.7545337, 'confidence': 0.065361455}",1
